probeID;probesetid;sequencesourceid;GeneSymbol;GeneName;wilcox.pvalue;FoldChange;wilcox.pvalue.ubc;FoldChange.ubc;FDR.wilcox.ubc;wilcox.pvalue.grng;FoldChange.grng;FDR.wilcox.grng;X7_HighlyReproducedProbeSets_Bonferroni;X599_ReproducedProbeSets_FDR;Laval_clusters;UBC_clusters;GRNG_clusters
X100121622_TGI_at;100121622_TGI_at;NM_182607;VSIG1;V-set and immunoglobulin domain containing 1;0,00000017500000000000;2,202846201;0,000426117;1,664554882;0,002723432;0,07409907;1,56827324;0,161422649;0;0;NA;NA;NA
X100121623_TGI_at;100121623_TGI_at;NM_001031696;PLD3;phospholipase D family, member 3;0,00000011700000000000;1,323966301;0,047068664;1,132194487;0,077796053;0,001558392;1,472727354;0,012371173;0;0;NA;NA;NA
X100121633_TGI_at;100121633_TGI_at;NM_002115;HK3;hexokinase 3 (white cell);0,00000000000024400000;1,957412298;0,001712887;1,304317384;0,007188327;0,004654763;1,544492509;0,023927113;0;1;U1;U1;U1
X100121642_TGI_at;100121642_TGI_at;AK091834;;hypothetical gene supported by AK091834;0,00000000297000000000;0,643821433;0,117215198;0,818497835;0,159000245;0,552010088;0,967988727;0,680615346;0;0;NA;NA;NA
X100121644_TGI_at;100121644_TGI_at;AW974207;NFYB;nuclear transcription factor Y, beta;0,00000045700000000000;0,813561005;0,7099742;0,98154145;0,735623293;0,032088759;0,836036365;0,088319445;0;0;NA;NA;NA
X100121664_TGI_at;100121664_TGI_at;NM_016337;EVL;Enah/Vasp-like;0,00000000227000000000;1,340474256;0,01256159;1,148375722;0,029001436;0,000753789;1,252201145;0,007913552;0;1;U1;U1;U1
X100121691_TGI_at;100121691_TGI_at;NM_003279;TNNC2;troponin C type 2 (fast);0,00000077000000000000;0,780981731;0,06633218;0,921801728;0,102536506;0,402505519;0,97343944;0,542112532;0;0;NA;NA;NA
X100121696_TGI_at;100121696_TGI_at;NM_000181;GUSB;glucuronidase, beta;0,00000000047500000000;1,229422664;0,103401072;1,066072334;0,144582063;0,00256018;1,167514735;0,01677126;0;0;NA;NA;NA
X100121719_TGI_at;100121719_TGI_at;NM_001032394;GPR126;G protein-coupled receptor 126;0,00000000256000000000;0,733141017;0,103915228;0,926608639;0,14473586;0,823248705;1,035799814;0,88918585;0;0;NA;NA;NA
X100121739_TGI_at;100121739_TGI_at;BC009944;STX6;syntaxin 6;0,00000000000000047600;1,46277387;0,057592601;1,124325494;0,09125138;0,010330126;1,181966868;0,040961273;0;0;NA;NA;NA
X100121783_TGI_at;100121783_TGI_at;NM_004701;CCNB2;cyclin B2;0,00000004580000000000;1,693234265;0,013027084;1,249518141;0,029735334;0,137820448;1,279318867;0,249969219;0;0;NA;NA;NA
X100121791_TGI_at;100121791_TGI_at;NM_015277;NEDD4L;neural precursor cell expressed, developmentally down-regulated 4-like;0,00000000005220000000;0,765732673;0,258420049;0,936972258;0,307338678;0,039719764;1,285988945;0,101661999;0;0;NA;NA;NA
X100121797_TGI_at;100121797_TGI_at;NM_001029874;;Rab15 effector protein;0,00000000019300000000;0,720081041;6,67E-06;0,727939975;0,000217231;0,421327994;0,944162688;0,560904521;0;0;NA;NA;NA
X100121803_TGI_at;100121803_TGI_at;NM_006809;TOMM34;translocase of outer mitochondrial membrane 34;0,00000024800000000000;1,235732899;0,796209286;1,026417;0,815178694;0,431008093;0,927943695;0,568620174;0;0;NA;NA;NA
